Task ID	Created At	Completed At	Last Modified	Name	Assignee	Assignee Email	Start Date	Due Date	Tags	Notes	Projects	Parent Task
653599010108025	2018-04-29		2018-05-02	Vytalize	zuza	zuza@rtaventures.com			network,USA,provider	Landmark + Accolade?   vytalizehealth.com	Deal Flow Log: to review	
653599019046031	2018-04-29		2018-05-02	Vitls	zuza	zuza@rtaventures.com			network,device,USA,vital sign	Vitls- temperature tracking vitalsinc.com	Deal Flow Log: to review	
653599025866888	2018-04-29		2018-05-02	Giblib	zuza	zuza@rtaventures.com			network,surgery,medical education,USA	Netflix for surgical education giblib.com	Deal Flow Log: to review	
653599032231539	2018-04-29		2018-05-02	PraosHealth	zuza	zuza@rtaventures.com			network,staffing,USA	Healthcare staffing- nurses www.praoshealth.com	Deal Flow Log: to review	
653599033231289	2018-04-29		2018-05-02	Trials.ai	zuza	zuza@rtaventures.com			network,clinical trials,USA	trials.ai	Deal Flow Log: to review	
655965167417656	2018-05-01	2018-05-01	2018-05-01	ReachFive	Piotr Kulesza	piotr@rta.vc			France,incoming	https://reachfive.co/ CIAM (Customer Identity and Access Management)	Deal Flow Log: to review	
324643150845523	2017-04-21		2018-04-30	Nephroflow	zuza	zuza@rtaventures.com		2018-05-01	network,event,follow-up,Belgium,Health 2.0 Europe Barcelona '17,dialysis	Dialysis soft: https://nephroflow.com	Deal Flow Log: to review	
540268154182944	2018-01-30	2018-02-16	2018-04-29	Discern MD	zuza	zuza@rtaventures.com			from PNC,recruitment,USA	predictive analytics to match employers and ophysicians: https://www.discernmd.com/	Deal Flow Log: in progress	
248046817900897	2017-01-17		2018-04-29	IOMED	zuza	zuza@rtaventures.com			outgoing,Spain,EHR,follow-up,Health 2.0 Europe Barcelona '17	EHR: http://iomed.es/product/	Deal Flow Log: in progress	
653593217688747	2018-04-29	2018-04-29	2018-04-29	Immi coin	zuza	zuza@rtaventures.com			Israel,blockchain,incoming	Some blockchain based FinTech Israel, incoming, blockchain, FinTech	Deal Flow Log: to review	
646831557726182	2018-04-24	2018-04-24	2018-04-24	PiggyBee	Piotr Kulesza	piotr@rta.vc			incoming,France	https://www.piggybee.com/en/ marketplace for crowdsourcing local tasks	Deal Flow Log: to review	
631035606614309	2018-04-12		2018-04-19	Dogo	zuza	zuza@rtaventures.com			outgoing,animals,USA	A dog training app! www.dogo.pro	Deal Flow Log: to review	
634271745113066	2018-04-15	2018-04-19	2018-04-19	Incineration Productions	zuza	zuza@rtaventures.com			incoming,gaming,Bulgaria	Games	Deal Flow Log: to review	
642382873575956	2018-04-19	2018-04-19	2018-04-19	PBimmunomics	zuza	zuza@rtaventures.com			incoming,blood,Germany	blood diagnostifcs	Deal Flow Log: to review	
638409946320737	2018-04-17	2018-04-17	2018-04-17	Reply.ai	Piotr Kulesza	piotr@rta.vc			network,Switzerland	https://www.reply.ai/ chatbot customer service - enterprise	Deal Flow Log: to review	
637279054375465	2018-04-17	2018-04-17	2018-04-17	Scoro	Piotr Kulesza	piotr@rta.vc			network,Estonia	https://www.scoro.com SaaS for workflows	Deal Flow Log: to review	
634307986906588	2018-04-15	2018-04-15	2018-04-15	Lipivir	Piotr Kulesza	piotr@rta.vc			incoming,Switzerland	https://www.fundable.com/lipivir srodek na opryszczke	Deal Flow Log: to review	
634276506540547	2018-04-15		2018-04-15	Kegg	Piotr Kulesza	piotr@rta.vc			network,Czech Republic	naturalcycles but using mucus scan	Deal Flow Log: to review	
422419626875943	2017-09-05	2018-04-15	2018-04-15	One Way VC	Piotr Kulesza	piotr@rta.vc			network,VC fund,USA	https://onewayvc.com Boston based fund for imigrants by imigrants	Deal Flow Log: to review	
402611716700899	2017-08-07		2018-04-14	RABA Capital - George Rzepecki	Piotr Kulesza	piotr@rta.vc			network,VC fund,Kenya	http://www.thesomoproject.org George is to launch a small fund focused on Africa (up to 20m) seems like a legit guy (US with Polish origins, worked at v.big SV fund)	Deal Flow Log: in progress	
626702590246861	2018-04-10	2018-04-11	2018-04-11	Repositive II	zuza	zuza@rtaventures.com			incoming,genetics,UK	Human genomic data	Deal Flow Log: to review	
626702590246864	2018-04-10	2018-04-11	2018-04-11	Happy Couple II	zuza	zuza@rtaventures.com			network,France,couples	Quiz based app for couples	Deal Flow Log: to review	
629291431051499	2018-04-11	2018-04-11	2018-04-11	Torcch	zuza	zuza@rtaventures.com			outgoing,UK,safety,AngelList	Safety heatmap: https://torcch.com/ UK	Deal Flow Log: to review	
629293325300226	2018-04-11	2018-04-11	2018-04-11	HoplaCare	zuza	zuza@rtaventures.com			outgoing,UK,elderly,AngelList	Caregivers marketplace http://www.hoplacare.com/user UK	Deal Flow Log: to review	
629297077559076	2018-04-11	2018-04-11	2018-04-11	SAFEapp	zuza	zuza@rtaventures.com			outgoing,USA,AngelList	Verified STD status on your phone: https://www.safeapp.me/ US	Deal Flow Log: to review	
629297080946630	2018-04-11	2018-04-11	2018-04-11	biko	zuza	zuza@rtaventures.com			outgoing,USA,AngelList	Rewards for urban biking: https://bikoapp.com/	Deal Flow Log: to review	
629305620689397	2018-04-11	2018-04-11	2018-04-11	BioVirtua	zuza	zuza@rtaventures.com			outgoing,USA,AngelList	Sequencing human movement http://biovirtua.com/	Deal Flow Log: to review	
629307981831404	2018-04-11	2018-04-11	2018-04-11	Qapsula	zuza	zuza@rtaventures.com			outgoing,telemedicine,Russia,AngelList	Health chatbot? https://www.qapsula.com/ Russia	Deal Flow Log: to review	
629307977306163	2018-04-11	2018-04-11	2018-04-11	miiskin	zuza	zuza@rtaventures.com			outgoing,Denmark,AngelList,skin	mealonma detection app: miiskin.com Denmark,	Deal Flow Log: to review	
629314313456643	2018-04-11	2018-04-11	2018-04-11	Folia Health	zuza	zuza@rtaventures.com			outgoing,USA,elderly,AngelList	Capturing home reported outcomes http://www.foliahealth.com/	Deal Flow Log: to review	
629315054316753	2018-04-11	2018-04-11	2018-04-11	HoyHealth	zuza	zuza@rtaventures.com			outgoing,chronic disease,USA,AngelList	Healthcare ecosystem for masses: http://www.hoyhealth.com/	Deal Flow Log: to review	
629317290173269	2018-04-11	2018-04-11	2018-04-11	BookDental	zuza	zuza@rtaventures.com			outgoing,dental,appointments,USA,AngelList	http://bookdental.com/	Deal Flow Log: to review	
629321710923789	2018-04-11	2018-04-11	2018-04-11	Hospify	zuza	zuza@rtaventures.com			outgoing,communication,UK,AngelList	Healthcare messaging https://www.hospify.com/ UK	Deal Flow Log: to review	
629324365036670	2018-04-11		2018-04-11	Fitbod	zuza	zuza@rtaventures.com			outgoing,fitness,USA,AngelList	Personalized strength training https://www.fitbod.me/	Deal Flow Log: to review	
629336510599679	2018-04-11		2018-04-11	Care Revolutions	zuza	zuza@rtaventures.com			outgoing,staffing,USA,AngelList	App for healthcare staffing https://www.carerevolutions.com	Deal Flow Log: to review	
629340126310429	2018-04-11	2018-04-11	2018-04-11	NOSO	zuza	zuza@rtaventures.com			outgoing,USA,AngelList	Digital diffuser for essential oils: https://noso.co/	Deal Flow Log: to review	
629609707552370	2018-04-11		2018-04-11	Papercup	zuza	zuza@rtaventures.com			network,UK,voice,language,Entrepreneur First 9 London	Translating world's videos: papercup.ai	Deal Flow Log: to review	
629609707552371	2018-04-11	2018-04-11	2018-04-11	CreditMint	zuza	zuza@rtaventures.com			network,financial,UK,Entrepreneur First 9 London	corporate lending CreditMint.io	Deal Flow Log: to review	
629609707552372	2018-04-11	2018-04-11	2018-04-11	nPlan	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	accelerating world’s construction (schedule/delays) nplan.io	Deal Flow Log: to review	
629609707552373	2018-04-11	2018-04-11	2018-04-11	Nivoda	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	b2b marketplace for diamonds and jewellery nivoda.net	Deal Flow Log: to review	
629609707552375	2018-04-11	2018-04-11	2018-04-11	Octeract	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	industrial optimization: octeract.co.uk	Deal Flow Log: to review	
629609707552374	2018-04-11	2018-04-11	2018-04-11	Headlight	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	a sensing and mapping software for harsh environments headlight.ai	Deal Flow Log: to review	
629609707552377	2018-04-11	2018-04-11	2018-04-11	Ginie AI	zuza	zuza@rtaventures.com			network,blockchain,legal,UK,Entrepreneur First 9 London	turns sheets into contracts ginie.ai	Deal Flow Log: to review	
629609707552378	2018-04-11	2018-04-11	2018-04-11	Prima Factor Capital	zuza	zuza@rtaventures.com			network,financial,UK,Entrepreneur First 9 London	Prime Factor Capital a crypto asset manager primefactor.capital	Deal Flow Log: to review	
629609707552379	2018-04-11	2018-04-11	2018-04-11	Mimica	zuza	zuza@rtaventures.com			network,workflow,UK,Entrepreneur First 9 London	Builds self-learning automations for digital work mimica.ai	Deal Flow Log: to review	
629609707552380	2018-04-11	2018-04-11	2018-04-11	Panopy	zuza	zuza@rtaventures.com			network,HR,UK,Entrepreneur First 9 London	Performance management panopy.co	Deal Flow Log: to review	
629609707552384	2018-04-11	2018-04-11	2018-04-11	ArrayStream	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	helping launch next gen AI-powered mutual funds	Deal Flow Log: to review	
629609707552385	2018-04-11	2018-04-11	2018-04-11	Limbic	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	provides computers with vital emotional input limbic.ai	Deal Flow Log: to review	
629609707552386	2018-04-11	2018-04-11	2018-04-11	Plumer AI	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	Making small machines intelligent	Deal Flow Log: to review	
629609707552387	2018-04-11	2018-04-11	2018-04-11	TokenAnalyst	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	Bringing transparency to the decentralized economy tokenanalyst.io	Deal Flow Log: to review	
629609707552388	2018-04-11	2018-04-11	2018-04-11	massless	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	future of 3d immersive design massless.io	Deal Flow Log: to review	
629609707552393	2018-04-11	2018-04-11	2018-04-11	Keeps	zuza	zuza@rtaventures.com			outgoing,USA,AngelList,beauty,male	Keep your hair https://keeps.com/	Deal Flow Log: to review	
